sl_no,ac_code,polling_station_number,polling_station,polling_areas,polling_station_type
11,18,11,"C.S.I. Raja Gopal (Thangasalai) Middle School, No:9, Kondal Street, Kondithope, Chennai - 600079.","1 - Kondithope Ward No 54 Peddu Street
2 - Kondithope Ward No 54 MuthuKrishnan Street",All Voters
12,18,12,"C S.I Raja Gopal (Thangasalai) Middle School No.9, Kondal Street , Kondithope Chennai-600079","1 - Kondithope Ward No 54 Venki Street Door No ( 1 To 39 & 2 To 36 )
2 - Kondithope Ward No 54 Kondal Street",All Voters
13,18,13,"C.S.I. Raja Gopal (Thangasalai) Middle School, No:9, Kondal Street, Kondithope, Chennai - 600079.","1 - Kondithope Ward No 54 Rangan Garden Street
2 - Kondithope Ward No 54 Balaji Appartments
3 - Kondithope Ward No 54 Kuppu Street",All Voters
14,18,14,"C.S.I. Raja Gopal (Thangasalai) Middle School, No:9, Kondal Street, Kondithope, Chennai - 600079.",1 - Kondithope Ward No 54 Ayalur Muthiah Street 999 - Overseas Elector,All Voters
15,18,15,"T.T.V Higher Secondary School, No:199, Mint Street, Sowcarpet Chennai - 600079.",1 - Sowcarpet Ward No 54 Krishnappa Tank Street 999 - Overseas Elector,All Voters
16,18,16,"T.T.V Higher Secondary School, No:199, Mint Street, Sowcarpet Chennai - 600079.","1 - Sowcarpet Ward No 54 Vadamalai 2nd Lane
2 - Sowcarpet Ward No 54 Reliance Rice Mill Street
3 - Sowcarpet Ward No 54 Zinda Street",All Voters
17,18,17,"T.T.V Higher Secondary School, No:199, Mint Street, Sowcarpet Chennai - 600079.",1 - Sowcarpet Ward No 54 Nammalvar Street,All Voters
18,18,18,"T.T.V Higher Secondary School, No:199, Mint Street, Sowcarpet Chennai - 600079.","1 - Sowcarpet Ward No 54 Krishnappa Agaraharam Street
2 - Sowcarpet Ward No 54 Ibrahim Street
3 - Sowcarpet Ward No 54 Kirshnappa Agaraharam Street Sarvamangal Appartment",All Voters
19,18,19,"Chennai Middle School, No:130, Amman Koil Street , Kondithope, Chennai - 600079.","1 - Sowcarpet Ward No 54 Mint Street Door No ( 127 To 199 & 132 To 200
)",All Voters
20,18,20,"Chennai Middle School, No:130, Amman Koil Street , Kondithope, Chennai - 600079.",1 - Sowcarpet Ward No 54 Mulla Street New Door No ( 1 To 45 & 2 To 48 ),All Voters
21,18,21,"Dr.Gurusamy Mudaliar T T V Higher Secondary School, No 225, Amman Koil Street, Kondithope, Chennai - 600079.","1 - Sowcarpet Ward No 54 Woodwarf 2nd Lane
2 - Sowcarpet Ward No 54 Woodwarf 3rd Lane
3 - Sowcarpet Ward No 54 V.O.C Salai & Thattimudaivor Lane",All Voters
22,18,22,"Dr.Gurusamy Mudaliar T T V Higher Secondary School, No 225, Amman Koil Street, Kondithope, Chennai - 600079.",1.Sowcarpet Ward No 54 Telegraph Appai Lane 2.Sowcarpet Ward No 54 Chakkarai Street 3.Sowcarpet Ward No 54 V.O.C Salai,All Voters
23,18,23,"Dr.Gurusamy Mudaliar T T V Higher Secondary School, No 225, Amman Koil Street, Kondithope, Chennai - 600079.","1 - Sowcarpet Ward No 54 Peddu Naicken Sundaram Street
2 - Sowcarpet Ward No 54 Sundaram 1st Lane
3 - Sowcarpet Ward No 54 Sundaram 2nd Lane
4 - Sowcarpet Ward No 54 Sundaram 3rd Lane
5 - Sowcarpet Ward No 54 Sundaram 4th Lane",All Voters
24,18,24,"Dr.Gurusamy Mudaliar T T V Higher Secondary School, No 225, Amman Koil Street, Kondithope, Chennai - 600079.","1 - Sowcarpet Ward No 54 Amman Koil Street New Door No ( 145 To 241 & 114 To 170 )
2 - Sowcarpet Ward No 54 Sundaram 5th Lane
3 - Sowcarpet Ward No 54 Sundaram 6th Lane
4 - Sowcarpet Ward No 54 Vadamalai 1st Lane",All Voters
25,18,25,"Dr.Gurusamy Mudaliar T T V Higher Secondary School, No 225, Amman Koil Street, Kondithope, Chennai - 600079.","1 - Sowcarpet Ward No 54 Amman Koil 1st Lane
2 - Sowcarpet Ward No 54 Amman Koil 2nd Lane
3 - Sowcarpet Ward No 54 Iron Monger Street
4 - Sowcarpet Ward No 54 Thenampettai Ramasamy Street",All Voters
26,18,26,"Chennai Middle School, No:130, Amman Koil Street , Kondithope, Chennai - 600079.","1 - Kondithope Ward No 54 Washerman Ali Lane
2 - Kondithope Ward No 54 Vadamalai Street",All Voters
27,18,27,"Chennai Middle School, No:130, Amman Koil Street , Kondithope, Chennai - 600079.","1 - Kondithope Ward No 54 Nambuliar Street
2 - Kondithope Ward No 54 Lawyer Chinnathambi Street 999 - Overseas Elector",All Voters
28,18,28,"Chennai High School, No:143, V.O.C Salai, Sowcarpet, Chennai - 600079.","1 - Sowcarpet Ward No 54 Perumal Koil Garden 7th Street ( Anna 4th Lane )
2 - Sowcarpet Ward No 54 Perumal Koil Garden 5th Street",All Voters
29,18,29,"Chennai High School, No:143, V.O.C Salai, Sowcarpet, Chennai - 600079.","1 - Sowcarpet Ward No 54 Perumal Koill Garden 1st Lane
2 - Sowcarpet Ward No 54 Perumal Koil Garden 8th Street ( Anna 3rd Lane )",All Voters
30,18,30,"Chennai High School, No:143, V.O.C Salai, Sowcarpet, Chennai - 600079.","1 - Sowcarpet Ward No 54 Perumal Koil Garden 2nd Lane
2 - Sowcarpet Ward No 54 Perumal Koil Garden 11th Lane ( Anna 1st Lane )
3 - Sowcarpet Ward No 54 Perumal Koil Garden 9th Street ( Anna 2nd
Lane )",All Voters
31,18,31,"Chennai High School, No:143, V.O.C Salai, Sowcarpet, Chennai - 600079.","1 - Sowcarpet Ward No 54 Perumal Koil Garden 4th Lane
2 - Sowcarpet Ward No 54 Perumal Koil Garden 6th Lane",All Voters
32,18,32,"Chennai Middle School, No:87, Annapillai Street, Sowcarpet, Chennai - 600079.","1 - Sowcarpet Ward No 54 Woodwarf 2nd Lane
2 - Sowcarpet Ward No 54 Woodwarf 3rd Lane
3 - Sowcarpet Ward No 54 Woodwarf 4th Lane
4 - Sowcarpet Ward No 54 Woodwarf 5th Lane",All Voters
33,18,33,"Chennai Middle School, No:87, Annapillai Street, Sowcarpet, Chennai - 600079.","1 - Sowcarpet Ward No 54 Perumal Koil Garden Street
2 - Sowcarpet Ward No 54 V.O.C Salai",All Voters
34,18,34,"Chennai Middle School, No:87, Annapillai Street, Sowcarpet, Chennai - 600079.","1 - Sowcarpet Ward No 54 Nallannan Lane
2 - Sowcarpet Ward No 54 Nallannan Street
3 - Sowcarpet Ward No 54 Arunachalam Street
4 - Sowcarpet Ward No 54 Woodwarf 1st Lane",All Voters
35,18,35,"Chennai High School, No:143, V.O.C Salai, Sowcarpet, Chennai - 600079.","1 - Sowcarpet Ward No 54 Thirupalli Lane
2 - Sowcarpet Ward No 54 Venkatesan Street
3 - Sowcarpet Ward No 54 Perumal Koil Garden 3rd Lane",All Voters
36,18,36,"Chennai High School, No:143, V.O.C Salai, Sowcarpet, Chennai - 600079.","1 - Sowcarpet Ward No 54 Mint Street New Door No ( 201 To 213 & 204 To 236 )
2 - Sowcarpet Ward No 54 Mulla Sahib Lane
3 - Sowcarpet Ward No 54 Thandavarayan Street",All Voters
37,18,37,"Ganeshbai Galada Jain Girls Higher Secondary School, No 209, Mint Street, Sowcarpet,Chennai-600079.","1 - Sowcarpet Ward No 54 Vinayagam Street
2 - Sowcarpet Ward No 54 Mulla Sahib New Door No ( 47 To 91 & 20 To 78 )
3 - Sowcarpet Ward No 54 Thangasalai 3rd Lane",All Voters
38,18,38,"Ganeshbai Galada Jain Girls Higher Secondary School, No 209, Mint Street, Sowcarpet,Chennai-600079.",1 - Sowcarpet Ward No 54 Thirupalli Street New Door No ( 1 To 59 & 2 To 60 ),All Voters
39,18,39,"Ganeshbai Galada Jain Girls Higher Secondary School, No 209, Mint Street, Sowcarpet,Chennai-600079.",1 - Sowcarpet Ward No 54 Thirupalli Street New Door No ( 61 To 123 & 62 To 124 ),All Voters
40,18,40,"Government Muslim High School, No:12, Sevenwells Street, Chennai - 600001.","1 - Sevenwells Ward No 55 Dharmaraja Koil 1st Lane
2 - Sevenwells Ward No 55 Dharmaraja Koil 2nd Lane
3 - Sevenwells Ward No 55 Varadhan Street",All Voters
41,18,41,"Chennai Middle School, No 178, Portuguese Church Street, Sevenwells. Chennai - 600001.","1 - Sevenwells Ward No 55 Portuguese Church Street Door No ( 1 To 89 &
2 To 90 )",All Voters
42,18,42,"Chennai Middle School, No 178, Portuguese Church Street, Sevenwells. Chennai - 600001.",1 - Sevenwells Ward No 55 Portuguese Church Street Door No ( 91 To 161 & 92 To 160 ),All Voters
43,18,43,"Chennai Middle School, No 178, Portuguese Church Street, Sevenwells. Chennai - 600001.","1 - Sevenwells Ward No 55 Veerasamy Street
2 - Sevenwells Ward No 55 Shanmugam Street
3 - Sevenwells Ward No 55 Shanmugam Lane
4 - Sevenwells Ward No 55 Periyannan Lane",All Voters
44,18,44,"Barracks Ground Indoor Badminton Court, No.178, Portuguese Church Street, Sevenwells. Chennai - 600001.",1 - Sevenwells Ward No 55 Periyannan Street,All Voters
45,18,45,"Barracks Ground Indoor Badminton Court, No.178, Portuguese Church Street, Sevenwells. Chennai - 600001.","1 - Sevenwells Ward No 55 Old Jail Road Police Qtrs
2 - Sevenwells Ward No 55 Govt.Press.Qtrs Old Jail Road
3 - Sevenwells Ward No 55 Baracks Street
4 - Sevenwells Ward No 55 Baracks Street 1st Lane
5 - Sevenwells Ward No 55 Baracks Street 2nd Lane
6 - Sevenwells Ward No 55 Baracks Street ( Huts )",All Voters
46,18,46,"Government Muslim High School, No:12, Sevenwells Street, Chennai - 600001.","1 - Sevenwells Ward No 55 Mangammal Street
2 - Sevenwells Ward No 55 Mangammal Lane
3 - Sevenwells Ward No 55 Ramalingam Street
4 - Sevenwells Ward No 55 2nd Narayanan Street",All Voters
47,18,47,"Government Muslim High School, No:12, Sevenwells Street, Chennai - 600001.","1 - Sevenwells Ward No 55 Thiyagarayar Lane
2 - Sevenwells Ward No 55 Seven Wells Street Door No ( 1 To 67 & 2 To 76
)
3 - Sevenwells Ward No 55 Marimuthu Lane 999 - Overseas Elector",All Voters
48,18,48,"Government Muslim High School, No:12, Sevenwells Street, Chennai - 600001.","1 - Sevenwells Ward No 55 Thiyagarayar Street
2 - Sevenwells Ward No 55 1st Narayanan Street
3 - Sevenwells Ward No 55 Irusappan Street",All Voters
49,18,49,"District Branch Library No.10/17,Shanmugam Street, Sevenwells, Chennai - 600001.","1 - Sevenwells Ward No 55 Palayappan Street
2 - Sevenwells Ward No 55 Giri Kori Street 999 - Overseas Elector",All Voters
50,18,50,"Corporation Community Centre, No:91, St. Xavier Street, Sevenwells, Chennai - 600001.",1 - Sevenwells Ward No 55 Paramanadam Street,All Voters
51,18,51,"Corporation Community Centre, No:91, St. Xavier Street, Sevenwells, Chennai - 600001.","1 - Sevenwells Ward No 55 Anai Kara Konan Street
2 - Sevenwells Ward No 55 St.Xavier Street Door No ( 49 To 123 & 34 To 78 )",All Voters
52,18,52,"Corporation Gym No.28,Shanmugam Street, Sevenwells, Chennai - 600001.","1 - Sevenwells Ward No 55 Malaiyappan Street Door No ( 1 To 15 )
2 - Sevenwells Ward No 55 Veerangavedu Murugesan Street
3 - Sevenwells Ward No 55 Kutty Lane Door No ( 1 To 11 )",All Voters
53,18,53,"Corporation Community Centre, No:91, St. Xavier Street, Sevenwells, Chennai - 600001.","1 - Sevenwells Ward No 55 Veerangavedu Murugesan Lane
2 - Sevenwells Ward No 55 Kumarappa Street",All Voters
54,18,54,"T.M.M.S Shanmuga Sundaram and A.P Samy Matriculation School, No:3,4,5, Pattu Rasappa Street, Sevenwells, Chennai - 600001.","1 - Sevenwells Ward No 55 Portuguese Church Street Door No ( 163 To 215 & 138 To 168 )
2 - Sevenwells Ward No 55 Amman Koil Street Door No ( 105 To 143 & 56
To 112 )",All Voters
55,18,55,"T.M.M.S Shanmuga Sundaram and A.P Samy Matriculation School, No:3,4,5, Pattu Rasappa Street, Sevenwells, Chennai - 600001.","1 - Sevenwells Ward No 55 Amman Koil Lane
2 - Sevenwells Ward No 55 Srinivasan Street
3 - Sevenwells Ward No 55 Parrys Venkatachalam Street Door No ( 33 To 37 & 60 To 68 )
4 - Sevenwells Ward No 55 Thandavamurthy Street
5 - Sevenwells Ward No 55 Pannaikara Andiappan Street Door No ( 1 To 57 & 2 To 52 )",All Voters
56,18,56,"T.M.M.S Shanmuga Sundaram and A.P Samy Matriculation School, No:3,4,5, Pattu Rasappa Street, Sevenwells, Chennai - 600001.","1 - Sevenwells Ward No 55 Munisuwarar Appartment
2 - Sevenwells Ward No 55 Varadha Muthaiyappan Street Door No ( 1 To 297 & 2 To 32 )
3 - Sevenwells Ward No 55 Patturasappa Street",All Voters
57,18,57,"T.M.M.S Shanmuga Sundaram and A.P Samy Matriculation School, No:3,4,5, Pattu Rasappa Street, Sevenwells, Chennai - 600001.",1 - Sevenwells Ward No 55 Govindappan Street Door No ( 1 To 115 & 2 To 82 ),All Voters
58,18,58,"T.M.M.S Shanmuga Sundaram and A.P Samy Matriculation School, No:3,4,5, Pattu Rasappa Street, Sevenwells, Chennai - 600001.","1 - Sevenwells Ward No 55 Malaiyappan Street Door No ( 13 To 47 & 14
To 24 )
2 - Sevenwells Ward No 55 Kutty Street",All Voters
59,18,59,"T.M.M.S Shanmuga Sundaram and A.P Samy Matriculation School, No:3,4,5, Pattu Rasappa Street, Sevenwells, Chennai - 600001.","1 - Sevenwells Ward No 55 Seven Wells Door No ( 69 To 123 & 78 To 134 )
2 - Sevenwells Ward No 55 Mottai Street",All Voters
60,18,60,"T.M.M.S Shanmuga Sundaram and A.P Samy Matriculation School, No:3,4,5, Pattu Rasappa Street, Sevenwells, Chennai - 600001.","1 - Seven Wells (South) Ward No 55, Subramani Street.
2 - Sevenwells Ward No 55 Muthusha Street",All Voters
61,18,61,"T.M.M.S Shanmuga Sundaram and A.P Samy Matriculation School, No:3,4,5, Pattu Rasappa Street, Sevenwells, Chennai - 600001.","1 - Sevenwells Ward No 55 Appasamy Street
2 - Sevenwells Ward No 55 Appasamy Lane",All Voters
62,18,62,"St. Agnes Middle School, No:81, Porchuges Church Street, Sevenwells, Chennai - 600001.","1 - Sevenwells Ward No 55 Vaithiyanathan Street
2 - Sevenwells Ward No 55 Samayavarthamman Koil Street",All Voters
63,18,63,"St. Agnes Middle School, No:81, Porchuges Church Street, Sevenwells, Chennai - 600001.","1 - Sevenwells Ward No 55 Sadaiyappan Street
2 - Sevenwells Ward No 55 Sambu Street",All Voters
64,18,64,"St. Agnes Middle School, No:81, Porchuges Church Street, Sevenwells, Chennai - 600001.","1 - Sevenwells Ward No 55 Nattu Pillaiyar Koil Street Door No ( 1 To 85 &
2 To 84 )",All Voters
65,18,65,"St. Agnes Middle School, No:81, Porchuges Church Street, Sevenwells, Chennai - 600001.","1 - Sevenwells Ward No 55 Hakkar Gesan Street
2 - Sevenwells Ward No 55 Nagamani Garden Street",All Voters
66,18,66,"CSI Anderson Day Girls High School, No:24, Acharappan Street, Sevenwells, Chennai - 600001.","1 - Katchaleeswarar Nagar Ward No 55 Balakrishnan Lane
2 - Katchaleeswarar Nagar Ward No 55 Mailai Periyathambi Street
3 - Katchaleeswarar Nagar Ward No 55 Egavalli Amman Koil Street
4 - Katchaleeswarar Nagar Ward No 55 Davidsons Street Door No ( 32 To 38 & 29 To 37 )
5 - Katchaleeswarar Nagar Ward No 55 Police Quarters
6 - Katchaleeswarar Nagar Ward No 55 North Davidson Street",All Voters
67,18,67,"CSI Anderson Day Girls High School, No:24, Acharappan Street, Sevenwells, Chennai - 600001.","1 - Katchaleeswarar Nagar Ward No 55 Appu Street
2 - Katchaleeswarar Nagar Ward No 55 Varadha Muthaiyappan Street Door No ( 31 To 89 & 34 To 84 )
3 - Katchaleeswarar Nagar Ward No 55 Sahib Asrath Street",All Voters
68,18,68,"CSI Anderson Day Girls High School, No:24, Acharappan Street, Sevenwells, Chennai - 600001.","1 - Katchaleeswarar Nagar Ward No 55 Parrys Venkatachalam Lane Door No ( 1 To 29 & 2 To 56 )
2 - Katchaleeswarar Nagar Ward No 55 Parrys Venkatachalam Street",All Voters
69,18,69,"CSI Anderson Day Girls High School, No:24, Acharappan Street, Sevenwells, Chennai - 600001.",1 - Katchaleeswarar Nagar Ward No 55 Buddi Street,All Voters
70,18,70,"CSI Anderson Day Girls High School, No:24, Acharappan Street, Sevenwells, Chennai - 600001.","1 - Katchaleeswarar Nagar Ward No 55 Acharappan Street Door No { 1 To 73 & 2 To 54 }
999 - Overseas Elector",All Voters
71,18,71,"St. Agnes Middle School, No:81, Porchuges Church Street, Sevenwells, Chennai - 600001.","1 - Katchaleeswarar Nagar Ward No 55 Mophasshkhan Garden Street
2 - Katchaleeswarar Nagar Ward No 55 Prakasam Salai Door No ( 123 To 183 & 68 To 120 )
999 - Overseas Elector",All Voters
72,18,72,"CSI Anderson Day Girls High School, No:24, Acharappan Street, Sevenwells, Chennai - 600001.","1 - Katchaleeswarar Nagar Ward No 55 Meeran Street
2 - Katchaleeswarar Nagar Ward No 55 Muthu Street 999 - Overseas Elector",All Voters
73,18,73,"Bharathi Government Women Arts College, No:1, Prakasam Salai, Chennai - 600108.","1 - Sevenwells ( North ) Ward No 56 Portuguese Church 2nd Lane
2 - Sevenwells ( North ) Ward No 56 Portuguese Church 3rd Lane
3 - Sevenwells ( North ) Ward No 56 Portuguese Church 4th Lane
4 - Sevenwells ( North ) Ward No 56 Portuguese Church 5th Lane
5 - Sevenwells ( North ) Ward No 56 Portuguese Church 6th Lane
6 - Sevenwells ( North ) Ward No 56 Portuguese Church 7th Lane
7 - Sevenwells ( North ) Ward No 56 Portuguese Church 8th Lane
8 - Sevenwells ( North ) Ward No 56 Portuguese Church 9th Lane
9 - Sevenwells ( North ) Ward No 56 Thaiyappan Lane",All Voters
74,18,74,"Bharathi Government Women Arts College,(North Facing) No.1, Prakasam Salai, Chennai - 600108.","1 - Sevenwells ( North ) Ward No 56 St.Xavier Street Door No ( 1 To 47 & 2 To 32
)
2 - Amman Koil Ward No 56 Srinivasan Street",All Voters
75,18,75,"Bharathi Government Women Arts College, No:1, Prakasam Salai, Chennai - 600108.","1 - Amman Koil Ward No 56 Prakasam Salai Door No ( 1 To 121 & 2 To 64
)
2 - Amman Koil Ward No 56 Pedariyar Koil 1st Lane
3 - Amman Koil Ward No 56 Pedariyar Koil 2nd Lane
4 - Amman Koil Ward No 56 Shanmugarayan Lane",All Voters
76,18,76,"Bharathi Government Women Arts College, No:1, Prakasam Salai, Chennai - 600108.","1 - Amman Koil Ward No 56 BRN Garden Tenament ' A ' Block
2 - Amman Koil Ward No 56 BRN Garden Tenament ' B ' Block
3 - Amman Koil Ward No 56 BRN Garden Tenament ' C ' Block
4 - Amman Koil Ward No 56 BRN Garden Tenament ' D ' Block
5 - Amman Koil Ward No 56 BRN Garden Tenament ' E ' Block
6 - Amman Koil Ward No 56 BRN Garden Tenament ' F ' Block
7 - Amman Koil Ward No 56 BRN Garden Tenament ' G ' Block
8 - Amman Koil Ward No 56 BRN Garden Tenament ' H ' Block
9 - Amman Koil Ward No 56 BRN Garden Tenament ' I ' Block
10 - Amman Koil Ward No 56 Old Jail Road Door No ( 1 To 56 )
11 - Amman Koil Ward No 56 Old Jail Road Lane",All Voters
77,18,77,"Bishop Corrie Higher Secondary School, No:1, Chapel Street, Muthaiyalpet, Chennai - 600001.",1 - Amman Koil Ward No 56 Shanmugarayan Street Door No ( 1 To 149 & 116 To 140 ),All Voters
78,18,78,"Bishop Corrie Higher Secondary School, No:1, Chapel Street, Muthaiyalpet, Chennai - 600001.",1 - Amman Koil Ward No 56 Pedariyar Koil Street Door No { 1 To 100 } 999 - Overseas Elector,All Voters
79,18,79,"Bishop Corrie Higher Secondary School, No:1, Chapel Street, Muthaiyalpet, Chennai - 600001.",1 - Amman Koil Ward No 56 Pedariyar Koil Street ( 2 To 172 ),All Voters
80,18,80,"Bishop Corrie Higher Secondary School, No:1, Chapel Street, Muthaiyalpet, Chennai - 600001.","1 - Amman Koil Ward No 56 Pedariyar Koil Street Door No { 101 To 207 }
2 - Amman Koil Ward No 56 Pedariyar Koil Lane",All Voters
81,18,81,"Bishop Corrie Higher Secondary School, No:1, Chapel Street, Muthaiyalpet, Chennai - 600001.",1 - Amman Koil Ward No 56 Shanmugarayan Street Door No ( 2 To 114 ) 999 - Overseas Elector,All Voters
82,18,82,"St. Gabriels Higher Secondary School, No:28, Broadway, Chennai - 600108.","1 - Amman Koil Ward No 56 BRN Garden ' A ' Block ( Tamilnadu Urban Habitat Development BoardB )
2 - Amman Koil Ward No 56 BRN Garden ' B ' Block ( Tamilnadu Urban Habitat Development BoardB )
3 - Amman Koil Ward No 56 BRN Garden Huts
999 - Overseas Elector",All Voters
83,18,83,"St. Gabriels Higher Secondary School, No:28, Broadway, Chennai - 600108.",1 - Amman Koil Ward No 56 Thaiyappan Street Door No ( 1 To 121 & 138 To 140 ),All Voters
84,18,84,"St. Gabriels Higher Secondary School, No:28, Broadway, Chennai - 600108.",1 - Amman Koil Ward No 56 Thaiyappan Street ( 2 To 136 ),All Voters
85,18,85,"St Annes Girls Higher Secondary School, No:37, Pidariyar Koil Street,Chennai - 600001.","1 - Amman Koil Ward No 56 Ponniamman Koil Street
2 - Amman Koil Ward No 56 Maduravasal Street
3 - Amman Koil Ward No 56 Maduravasal Lane
4 - Amman Koil Ward No 56 Francis Tourin Street
5 - Amman Koil Ward No 56 Venkatesan Lane
6 - Amman Koil Ward No 56 Portuguese Church 1st Lane",All Voters
86,18,86,"St Annes Girls Higher Secondary School, No:37, Pidariyar Koil Street,Chennai - 600001.","1 - Amman Koil Ward No 56 Amman Koil Street Door No( 1 To 103 & 2 To 54 ) Seven Wells
2 - Amman Koil Ward No 56 Asirvathapuram Broadway
3 - Amman Koil Ward No 56 Meeran Labai Street Huts Seven Wells
4 - Amman Koil Ward No 56 Venkatesan Street
5 - Amman Koil Ward No 56 Asirvathapuram 1st Lane
6 - Amman Koil Ward No 56 Asirvathapuram 2nd Lane
7 - Amman Koil Ward No 56 Asirvathapuram 3rd Lane 999 - Overseas Elector",All Voters
87,18,87,"St Francies Xavier's Primary School, No:36, Pidariyar Koil Street,Chennai - 600001.","1 - Amman Koil Ward No 56 Asirvathapuram 4th Lane
2 - Amman Koil Ward No 56 Asirvathapuram 5th Lane
3 - Amman Koil Ward No 56 Asirvathapuram 6th Lane
4 - Amman Koil Ward No 56 Asirvathapuram 7th Lane
5 - Amman Koil Ward No 56 Asirvathapuram 8th Lane
6 - Amman Koil Ward No 56 Asirvathapuram 9th Lane
7 - Amman Koil Ward No 56 Asirvathapuram 10th Lane
8 - Amman Koil Ward No 56 Asirvathapuram 11th Lane
9 - Amman Koil Ward No 56 Asirvathapuram 12th Lane
10 - Amman Koil Ward No 56 Asirvathapuram 13th Lane
11 - Amman Koil Ward No 56 Asirvathapuram Huts",All Voters
88,18,88,"K.R.C.A.R.C Girls Higher Secondary School, No:26-24 and 29, Saiva Muthiah Street, Muthaiyalpet, Chennai - 600001.","1 - Muthaiyalpet Ward No 56 Ibrahim Sahib Street Door No ( 65 To 107 )
2 - Muthaiyalpet Ward No 56 Saivamuthaiya 3rd Lane
3 - Muthaiyalpet Ward No 56 Saivamuthaiya 4th Lane
4 - Muthaiyalpet Ward No 56 Saivamuthaiya 5th Lane
5 - Muthaiyalpet Ward No 56 Appasamy Lane
6 - Muthaiyalpet Ward No 56 Alwarpet Lane",All Voters
89,18,89,"K .R.C.A.R.C Girls Higher Secondary School West Facing No.26 24 and 29, Saiva Muthiah Street, Muthialpet Chennai - 600001","1 - Muthaiyalpet Ward No 56 Saivamuthaiya 2nd Lane
2 - Muthaiyalpet Ward No 56 Saivamuthaiya 1st Lane",All Voters
90,18,90,"K.R.C.A.R.C Girls Higher Secondary School, No:26-24 and 29, Saiva Muthiah Street, Muthaiyalpet, Chennai - 600001.","1 - Muthaiyalpet Ward No 56 Thiruvalluvar Nagar ( Huts )
2 - Muthaiyalpet Ward No 56 Broadway 1st Lane
3 - Muthaiyalpet Ward No 56 Broadway 2nd Lane",All Voters
91,18,91,"K.R.C.A.R.C Girls Higher Secondary School, No:26-24 and 29, Saiva Muthiah Street, Muthaiyalpet, Chennai - 600001.","1 - Muthaiyalpet Ward No 56 Saivamuthaiya Street
2 - Muthaiyalpet Ward No 56 Venkat Lane 999 - Overseas Elector",All Voters
92,18,92,"K R.C.A.R C Girls Higher Secondary School No 26, 24 29 Saiva Muthiah street Muthialpet Chennai- 600001","1 - Muthaiyalpet Ward No 56 Venkat Street
2 - Muthaiyalpet Ward No 56 Katchaleeswarar Garden Street",All Voters
93,18,93,"K.R.C.A.R.C Girls Higher Secondary School, No:26-24 and 29, Saiva Muthiah Street, Muthaiyalpet, Chennai - 600001.","1 - Muthaiyalpet Ward No 56 Salai Vinayagar Koil Street
2 - Muthaiyalpet Ward No 56 Salai Vinayagar Koil 1st Lane
3 - Muthaiyalpet Ward No 56 Salai Vinayagar Koil 2nd Lane",All Voters
